	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
SNORD119	15	4	7	6	6	3	20	9	0	2	0	0	0	0	0	0
SNORD11B	3	0	2	0	1	3	1	2	2	0	1	0	3	3	2	0
SNORD12	103	77	64	98	68	49	121	72	2	2	4	0	3	1	2	1
SNORD121A	3	1	0	3	1	2	1	1	0	1	1	1	3	1	1	2
SNORD121B	6	4	4	14	8	13	8	9	6	11	8	4	3	9	7	4
SNORD123	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SNORD124	8	3	8	9	13	1	12	14	1	1	4	0	5	7	3	3
SNORD125	30	18	16	24	31	28	73	46	16	33	32	16	26	43	58	28
SNORD126	2	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0
SNORD127	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0
SNORD12B	132	86	82	108	55	45	117	59	3	6	3	7	1	6	2	2
SNORD12C	48	44	37	56	21	9	45	19	2	0	0	1	0	1	0	1
SNORD13	1	0	1	0	0	2	1	0	1	0	2	0	0	0	3	0
SNORD14A	40	24	21	29	20	12	42	29	1	3	0	0	0	1	1	0
SNORD14B	51	35	23	40	35	25	59	43	6	3	2	2	0	2	4	2
SNORD14C	216	161	128	226	148	145	267	229	21	19	13	13	11	20	16	11
SNORD14D	123	110	74	127	68	98	167	152	4	3	3	2	2	4	1	2
SNORD14E	20	16	16	20	17	21	23	33	0	0	1	1	0	0	1	1
SNORD15A	9	11	9	7	6	5	11	3	1	0	3	1	0	2	3	0
SNORD15B	29	19	18	24	5	11	35	23	2	1	6	1	1	2	5	1
SNORD16	46	44	32	76	44	29	92	53	19	19	19	12	25	35	41	16
SNORD17	205	168	131	196	117	115	220	143	132	168	165	98	99	145	174	71
SNORD18A	12	9	6	17	6	5	14	9	1	2	0	0	0	0	0	1
SNORD18B	7	6	2	4	4	4	8	7	0	2	0	3	3	0	2	0
SNORD18C	46	25	31	33	34	31	32	52	5	5	4	7	7	6	10	5
SNORD19	19	29	25	27	14	21	26	24	0	0	0	0	0	0	0	2
SNORD19B	108	63	62	89	75	76	159	99	5	5	8	2	8	4	10	10
SNORD1A	11	10	8	16	6	4	11	12	1	0	0	0	1	1	1	1
SNORD1B	12	7	4	11	9	5	12	7	1	2	1	0	0	4	2	1
SNORD1C	20	22	16	27	22	16	23	22	2	0	1	4	1	0	0	2
SNORD2	115	111	82	100	92	86	161	108	5	5	8	4	2	5	9	5
SNORD20	7	11	5	9	11	4	8	12	1	2	2	3	2	0	0	0
SNORD21	15	11	21	13	15	12	11	19	6	5	4	2	1	1	2	1
SNORD22	386	312	271	404	277	190	515	306	37	27	31	5	16	26	31	18
SNORD23	59	47	30	38	38	26	46	44	29	31	23	15	24	45	40	26
SNORD24	16	10	8	19	12	5	12	13	3	1	2	2	2	5	0	3
SNORD25	94	79	62	82	77	87	121	86	6	5	3	3	1	8	9	7
SNORD26	157	111	87	142	91	92	183	156	2	8	8	5	5	11	9	1
SNORD27	170	138	97	148	99	108	179	156	10	7	3	2	3	10	4	1
SNORD28	94	86	55	99	83	69	116	119	3	1	2	1	6	0	8	1
SNORD29	192	132	96	166	125	101	207	196	19	18	17	4	11	27	26	8
SNORD30	143	110	83	109	82	73	165	144	5	10	4	4	2	10	6	4
SNORD31	164	136	115	163	114	92	193	134	13	12	8	4	4	13	15	3
SNORD32A	88	63	53	76	41	38	82	64	14	13	9	7	3	4	7	3
SNORD32B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD33	18	21	11	27	19	13	32	14	1	5	1	2	0	5	6	0
SNORD34	42	41	22	52	36	35	49	39	4	0	0	1	1	3	3	1
SNORD35A	62	50	32	60	43	32	62	43	2	9	4	3	2	3	4	0
SNORD35B	78	77	44	86	51	34	85	73	19	19	20	9	5	10	13	5
SNORD36A	196	151	112	173	203	158	350	231	33	36	44	19	39	76	95	33
SNORD36B	21	25	18	36	28	23	42	28	0	0	0	0	0	2	0	2
SNORD36C	72	44	48	49	49	30	78	45	2	1	1	1	0	2	1	0
SNORD37	1	5	5	1	2	2	9	4	1	3	4	2	0	3	5	1
SNORD38A	53	49	34	40	39	25	66	30	1	1	1	1	0	0	3	2
SNORD38B	40	20	13	24	16	16	25	28	7	15	9	6	5	11	10	4
SNORD3A	0	7	2	8	7	13	6	20	18	10	12	8	9	24	53	9
SNORD3B-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD3B-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD41	1	2	5	1	2	2	1	1	0	0	0	0	0	0	2	0
SNORD42A	15	3	8	11	6	5	6	7	1	0	1	0	0	0	4	3
SNORD42B	18	12	7	10	16	8	19	29	3	3	3	2	0	3	7	3
SNORD43	51	32	24	45	21	11	42	26	10	17	4	8	1	14	5	3
SNORD44	215	148	140	255	129	122	227	161	3	2	2	2	2	3	5	1
SNORD45A	69	38	31	39	30	15	44	30	1	0	1	6	1	0	2	1
SNORD45B	118	98	76	107	80	57	106	85	5	4	4	4	3	1	1	1
SNORD45C	67	17	19	33	20	14	27	23	2	3	4	10	8	2	0	1
SNORD46	23	16	13	14	16	10	18	20	0	4	1	0	1	5	6	2
SNORD47	781	412	419	601	454	385	606	577	41	31	42	43	27	20	35	17
SNORD48	69	57	46	72	59	42	69	63	18	15	18	4	5	11	15	5
SNORD49A	241	176	149	236	158	132	248	180	17	26	16	9	11	15	17	10
SNORD49B	1355	1225	747	1194	1071	842	1698	1232	1274	1574	1380	780	718	1332	1461	579
SNORD4A	69	48	45	60	67	47	105	83	11	23	19	16	15	19	33	21
SNORD4B	14	5	9	10	8	8	26	22	0	3	1	1	1	2	1	0
SNORD5	36	35	20	36	32	17	27	40	3	4	0	4	6	6	3	1
SNORD50A	16	10	11	14	8	9	9	16	0	0	0	2	0	0	0	0
SNORD50B	77	46	42	66	49	43	71	62	2	1	2	2	3	2	0	2
SNORD51	19	14	12	10	6	6	21	10	2	0	4	0	2	1	0	1
SNORD52	89	57	51	69	58	53	87	83	12	19	25	9	7	13	9	9
SNORD53	4	1	2	3	5	1	2	3	2	3	1	1	0	2	4	0
SNORD54	24	17	12	26	8	9	18	10	0	0	1	0	0	1	0	1
SNORD55	46	22	9	44	15	8	55	21	7	9	15	4	7	12	12	7
SNORD56	72	53	48	75	56	39	100	73	10	8	11	9	4	10	11	5
SNORD56B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SNORD57	90	93	51	90	74	76	121	85	17	20	17	13	14	17	29	8
SNORD58A	38	20	25	33	22	20	36	42	2	1	0	0	1	1	1	0
SNORD58B	578	477	358	555	352	330	634	446	421	489	455	270	198	375	373	187
SNORD58C	89	55	49	61	43	53	70	75	4	9	4	4	5	13	6	7
SNORD59A	20	22	12	16	17	11	21	14	1	0	2	0	0	1	2	2
SNORD59B	16	9	12	11	13	10	17	12	3	4	1	0	2	0	4	1
SNORD6	20	20	12	18	15	14	25	24	1	1	1	2	0	0	2	3
SNORD60	80	65	49	78	71	52	98	84	0	2	4	2	0	1	2	0
SNORD61	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD62A	14	12	3	9	10	7	21	27	4	8	5	5	2	4	9	1
SNORD62B	14	12	3	9	10	7	21	27	4	8	5	5	2	4	9	1
SNORD63	13	16	4	13	16	12	18	9	6	7	11	12	8	6	6	5
SNORD64	2	5	1	3	0	3	4	2	6	2	3	3	1	0	1	0
SNORD65	139	112	78	122	94	79	158	121	27	24	18	17	10	27	33	17
SNORD66	2	2	2	2	1	2	5	0	1	1	0	0	0	1	0	0
SNORD67	10	13	10	6	4	6	14	9	7	13	6	8	6	5	6	1
SNORD68	112	86	69	89	80	76	180	103	18	18	13	17	14	21	24	9
SNORD69	26	28	20	24	15	12	27	19	5	3	7	3	7	9	4	3
SNORD7	4	5	2	1	2	1	1	3	0	0	1	1	2	0	2	2
SNORD70	2	2	1	2	1	0	3	0	1	0	0	0	0	0	0	0
SNORD71	1	0	5	2	2	1	1	2	2	1	0	1	0	4	2	1
SNORD72	5	3	1	1	1	3	2	3	0	0	0	0	0	0	0	0
SNORD73A	65	43	34	48	34	23	62	53	5	3	4	4	1	4	2	4
SNORD74	57	47	29	66	31	30	59	60	20	9	12	8	10	14	16	10
SNORD75	34	18	13	36	15	19	32	13	1	0	0	0	0	1	3	0
SNORD76	509	391	316	491	363	290	603	418	26	28	33	23	11	22	25	19
SNORD77	70	59	36	63	38	43	52	60	7	3	3	3	4	1	7	3
SNORD78	148	114	94	122	86	94	160	133	3	1	0	1	0	0	3	1
SNORD79	249	203	198	239	176	148	257	199	8	11	8	2	7	5	7	6
SNORD8	0	0	1	1	0	1	5	0	0	3	0	0	1	0	0	1
SNORD80	521	478	341	522	374	365	654	484	142	143	124	99	50	103	94	55
SNORD81	245	176	125	214	178	104	252	197	23	21	26	19	26	21	28	16
SNORD82	2	0	0	0	6	5	4	1	1	1	2	0	1	1	1	1
SNORD83A	44	44	46	48	26	21	48	23	1	1	1	0	0	4	1	4
SNORD83B	83	47	55	83	45	31	64	53	12	20	5	9	10	13	12	5
SNORD84	24	33	15	25	31	17	37	14	19	40	23	14	6	18	18	15
SNORD85	1	1	1	4	0	3	1	1	1	0	0	0	1	0	0	1
SNORD86	1079	933	631	1071	953	732	1714	1228	572	714	597	340	418	774	920	368
SNORD87	56	24	30	32	28	17	49	47	1	1	0	2	2	3	0	0
SNORD88A	12	5	5	15	10	5	9	6	6	1	1	2	0	3	3	1
SNORD88B	128	93	76	112	106	61	184	120	3	10	10	2	9	6	6	4
SNORD88C	21	26	16	19	27	16	43	26	13	16	11	5	4	12	11	4
SNORD89	23	24	17	38	25	23	41	25	21	21	17	13	4	13	17	13
SNORD9	4	3	1	5	3	1	3	1	1	0	0	0	1	1	2	0
SNORD90	2	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
SNORD91A	1	0	1	1	2	2	3	2	2	2	0	1	0	1	2	0
SNORD91B	4	3	3	3	4	3	6	1	1	4	2	1	1	2	1	3
SNORD92	2	0	1	0	1	0	0	1	0	0	0	0	1	2	1	4
SNORD93	21	12	7	6	16	4	14	9	0	1	2	0	0	0	2	0
SNORD94	19	23	9	18	9	6	19	10	11	16	8	9	4	6	6	3
SNORD95	14	15	12	9	5	6	8	2	8	16	8	5	2	4	12	2
SNORD96A	233	189	133	227	177	135	281	230	100	108	87	54	37	76	78	43
SNORD96B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SNORD97	13	8	2	8	3	7	13	12	3	0	4	0	0	0	7	0
SNORD98	6	3	4	4	3	4	6	4	3	1	0	1	1	6	3	1
SNORD99	31	36	27	35	19	16	47	30	3	3	3	1	0	1	4	1
SNPH	328	295	157	285	308	259	460	321	53	50	56	27	32	71	80	21
SNRK	939	849	584	866	752	679	1252	917	250	250	259	225	296	393	438	207
SNRK-AS1	510	475	316	489	439	364	709	528	176	151	144	137	164	240	270	134
SNRNP200	18199	15081	10540	16840	16467	13232	27711	19995	12501	15716	13941	8250	9838	19008	20768	9668
SNRNP25	2126	1782	1239	2043	2217	1690	3719	3013	2096	2526	2162	1189	1532	3095	3433	1374
SNRNP27	1182	938	650	1090	1336	1028	2051	1552	1120	1295	1210	1026	1166	1570	1571	831
SNRNP35	775	550	371	660	574	490	962	747	290	283	262	152	178	325	452	192
SNRNP40	3098	2468	1801	2864	1842	1600	3322	2390	1099	1197	1022	623	421	844	809	416
SNRNP48	831	659	501	738	760	641	1186	952	266	328	285	233	304	486	505	263
SNRNP70	9589	8157	5504	8857	7996	6147	14786	10460	5725	6594	5734	3239	3620	7448	8752	3775
SNRPA	3278	2828	1947	3326	3045	2383	5045	3891	1219	1559	1417	718	869	1680	1901	810
SNRPA1	2247	1820	1253	2186	2193	1749	3890	2840	1571	1732	1523	987	1217	2443	2476	1117
SNRPB	17294	15279	9853	16471	14446	11717	24928	19116	13124	15478	13594	8147	8344	16162	19069	7997
SNRPB2	4790	3934	2754	4642	4431	3683	7332	5658	4245	4760	4411	3017	3589	6011	6054	3052
SNRPC	4223	3687	2415	4054	4646	3774	7972	6029	4428	5354	4809	2814	3718	7175	7950	3480
SNRPD1	5533	4810	3258	5620	4732	4055	8198	6102	2834	3242	2976	1789	2123	3871	3827	1953
SNRPD2	8801	7723	4905	8356	8554	6912	14112	10393	11357	12661	10866	6328	7488	14214	16017	6935
SNRPD2P2	0	0	1	1	1	0	0	1	1	0	1	0	1	4	5	0
SNRPD3	8374	7019	4796	7873	7808	6624	12961	9826	7710	9030	7973	5158	6139	11044	11597	5583
SNRPE	4902	4002	2758	4529	4325	3669	7323	5629	4444	4851	4567	2874	3886	5748	6093	2714
SNRPF	4770	4103	2733	4927	4566	3638	7566	5915	4890	6164	5287	2913	3619	7311	7601	3191
SNRPG	2838	2384	1523	2575	2697	2204	4437	3432	2620	2998	2759	1657	2159	3853	4215	1887
SNRPN	1215	1067	670	1125	655	543	1146	763	1008	1211	1121	608	365	663	793	360
SNTA1	232	223	114	208	246	230	489	333	159	249	150	100	173	286	338	174
SNTB1	7	12	6	7	12	9	13	13	5	6	9	4	7	13	13	5
SNTB2	1427	1190	751	1177	1223	1059	1915	1531	671	832	790	660	948	1212	1414	750
SNTG1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SNTG2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0
SNTN	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNU13	7835	6593	4519	7449	7650	6190	12847	9810	6107	7094	6272	3693	4520	8560	9678	4296
SNUPN	893	786	502	833	766	646	1294	1002	242	229	244	139	131	277	311	141
SNURF	1215	1067	671	1125	655	543	1146	763	1008	1211	1122	608	365	663	793	360
SNW1	3969	3473	2226	3712	3136	2654	5514	3948	973	1106	1087	749	666	1321	1342	704
SNX1	3628	3034	2218	3530	2688	2284	4589	3354	3095	3765	3290	2184	1913	3647	3749	1805
SNX10	374	298	213	326	319	311	530	447	188	224	228	200	268	290	285	154
SNX11	955	765	593	948	738	579	1300	919	325	395	426	251	240	414	400	215
SNX12	2707	2284	1461	2465	1432	1191	2623	1854	1463	1643	1382	793	586	1103	1199	556
SNX13	1360	1186	776	1272	1424	1218	2236	1559	574	575	553	441	602	826	847	446
SNX14	2533	2099	1518	2298	1882	1637	2864	2245	1414	1512	1399	969	1068	1584	1659	925
SNX15	375	318	223	360	266	197	444	341	123	156	116	67	65	193	162	77
SNX16	243	191	158	208	215	153	353	237	126	142	116	133	121	114	126	57
SNX17	5212	4547	2986	4884	4247	3525	7241	5194	3391	4029	3388	1983	2321	4530	4678	2261
SNX18	562	342	273	396	493	406	876	604	107	120	102	80	193	197	199	87
SNX19	3115	2517	1788	2905	2619	2134	4323	2940	2132	2553	2238	1551	1618	2764	3152	1566
SNX2	3656	3278	2297	3734	3545	3119	5781	4210	2287	2560	2311	1613	1751	3293	3319	1772
SNX20	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SNX21	650	594	377	591	625	509	1030	781	215	261	215	156	154	301	365	186
SNX22	10219	8678	5755	9794	9384	7533	16127	12017	10978	11945	10634	6216	7726	14625	16253	7133
SNX24	997	823	600	895	633	495	1036	835	484	525	507	291	353	552	558	258
SNX25	749	606	436	692	471	435	788	615	310	394	336	211	152	270	330	154
SNX27	2237	1735	1240	1972	1604	1351	2587	1927	524	583	529	338	440	761	851	384
SNX29	486	376	301	440	349	297	634	406	228	289	256	185	145	317	282	165
SNX29P1	1	3	1	3	2	6	3	4	3	4	1	3	0	6	6	4
SNX29P2	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0
SNX3	6173	4766	2697	4405	5058	4316	8375	6466	4702	5107	3671	2607	3938	5581	6055	2701
SNX30	1148	1019	721	1067	778	637	1233	898	254	273	273	143	145	252	278	137
SNX31	0	2	0	0	0	0	0	1	1	1	2	4	0	0	4	0
SNX32	0	0	1	1	0	0	1	0	12	14	16	14	13	9	8	5
SNX33	1050	921	620	956	720	595	1221	922	334	375	317	192	238	462	453	228
SNX4	1610	1261	803	1265	1092	1005	1764	1383	904	1029	884	726	685	957	996	524
SNX5	10326	8607	6371	10008	7571	6095	12769	9312	5128	6187	5805	3976	3091	5543	6007	2849
SNX6	3067	2607	1964	2935	2309	2030	3784	2712	2222	2578	2434	1836	1909	2589	2692	1363
SNX7	2011	1764	1224	2025	526	494	978	704	1415	1592	1518	914	399	662	673	355
SNX8	1613	1382	1009	1522	1487	1009	2610	1762	903	1032	923	533	742	1334	1392	686
SNX9	2943	2494	1688	2799	2165	1817	3718	2686	1425	1694	1487	1092	959	1564	1517	760
SOAT1	3231	2738	1917	3037	2075	1683	3233	2384	1642	1892	1683	1210	1151	1594	1846	844
SOAT2	2	1	0	1	7	3	11	7	3	2	3	6	3	2	7	3
SOBP	12	8	0	8	6	1	8	9	0	4	2	1	4	4	1	0
SOCS1	15	8	6	8	18	11	24	13	5	2	3	2	4	2	9	2
SOCS2	1098	761	640	931	511	384	998	686	215	211	220	157	105	180	185	84
SOCS2-AS1	58	39	28	32	24	17	47	33	27	24	24	11	13	19	33	13
SOCS3	161	150	61	107	195	222	369	250	5	4	5	7	33	35	48	19
SOCS4	1985	1475	1185	1727	1168	1033	1802	1412	1350	1586	1631	1660	1740	1619	2017	1075
SOCS5	771	576	433	610	636	505	977	719	223	207	211	189	244	327	381	186
SOCS6	1259	967	771	1207	1374	1073	2144	1598	230	258	236	184	378	472	458	240
SOCS7	1951	1620	1118	1698	1467	1159	2452	1842	764	948	974	560	717	1362	1326	693
SOD1	8809	7256	5089	8457	8522	6699	14219	10697	10411	11819	10528	6551	7152	13524	14518	6799
SOD2	6938	6262	2420	4078	1762	1804	2601	1723	3124	3458	2746	1996	948	1619	1538	781
SOD3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SOGA1	4477	3789	2630	4030	4432	3529	7611	5098	648	970	757	516	474	1012	1192	543
SOGA3	11	15	8	9	20	16	36	23	15	9	11	9	15	28	26	6
SOHLH1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SOHLH2	13	17	5	16	13	19	32	31	3	14	5	6	11	6	19	10
SON	18552	15508	11022	16965	13208	10983	22744	16213	6127	7887	6910	5163	4323	7510	8224	4093
SORBS1	24	28	15	30	22	16	23	19	32	34	37	32	15	20	37	17
SORBS2	228	229	139	245	157	139	217	195	67	81	79	45	35	79	77	40
SORBS3	2224	1834	1244	1974	1693	1199	2824	2226	1381	1585	1202	623	726	1448	1616	665
SORCS1	3	8	0	0	0	0	0	0	0	0	1	0	0	0	0	2
SORCS2	3	2	8	4	9	2	5	8	2	10	15	2	3	14	13	9
SORCS3	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0
SORCS3-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORD	3031	2587	1815	2924	2791	2171	4739	3379	2431	2988	2660	1669	1747	3338	3556	1705
SORL1	1160	979	686	1098	669	542	1167	824	582	636	615	351	366	521	562	278
SORT1	1618	1409	954	1450	1680	1309	2840	2018	733	796	728	403	740	1379	1444	664
SOS1	2220	1863	1375	2092	1411	1248	2442	1713	862	1058	970	782	502	803	864	475
SOS2	1075	846	573	930	686	646	1048	824	191	228	209	173	173	217	243	161
SOST	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
SOSTDC1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0
SOWAHA	22	9	2	7	15	6	36	24	7	3	5	3	6	14	6	4
SOWAHB	14	19	6	14	15	11	32	27	13	6	5	3	8	23	12	11
SOWAHC	2738	2144	1520	2378	2170	1774	3753	2605	366	401	405	393	612	593	634	328
SOWAHD	3	6	3	3	3	2	7	7	3	7	3	3	6	2	2	0
SOX1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SOX10	1	2	1	0	5	1	4	4	0	1	1	1	3	6	1	1
SOX11	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SOX12	905	825	394	662	630	564	1097	786	177	205	145	68	116	230	260	101
SOX13	1384	1236	850	1290	651	463	1115	863	139	127	93	48	38	84	98	45
SOX14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX15	2200	1936	1315	1975	1532	1091	2613	2002	876	1018	864	493	511	1024	1094	450
SOX17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SOX18	12	6	3	5	4	2	5	6	0	0	0	0	3	0	0	1
SOX2	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	2
SOX2-OT	3	2	1	2	2	1	2	0	1	0	1	0	1	3	1	0
SOX21	0	0	0	0	1	0	0	0	2	1	1	2	2	0	2	2
SOX21-AS1	1	1	1	0	0	0	0	0	0	1	4	1	0	3	4	0
SOX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX30	1	2	2	1	1	2	2	3	5	3	6	4	3	5	12	2
SOX4	1081	856	590	910	687	553	1158	848	56	51	48	52	113	147	163	79
SOX5	5	4	1	7	3	10	6	2	0	1	0	0	0	0	0	0
SOX6	23	25	17	18	11	5	22	13	11	9	8	5	1	9	6	5
SOX7	2813	2442	1555	2484	2354	1887	4202	3001	95	101	86	44	96	167	164	77
SOX8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX9	216	181	153	171	292	166	525	378	20	16	8	8	26	30	42	13
SOX9-AS1	2	1	0	0	1	0	0	2	1	0	0	0	0	2	1	2
SP1	5681	4592	3282	5097	5133	4096	8143	6144	1503	1539	1526	1181	1450	2414	2766	1209
SP100	2325	1933	1249	2062	2338	2205	3615	2081	1140	1281	1245	805	1023	1700	1604	962
SP110	493	416	266	414	894	887	1382	735	234	290	212	158	352	608	601	342
SP140	10	10	8	5	10	6	10	9	3	5	5	5	3	1	2	1
SP140L	697	569	409	628	785	677	1331	808	303	345	287	213	262	532	527	265
SP2	738	677	472	710	677	502	1124	815	229	233	218	156	169	324	389	156
SP2-AS1	45	34	31	38	44	38	70	57	32	51	50	36	40	74	71	40
SP3	3351	2662	1762	2995	2767	2230	4386	3197	590	679	518	456	589	758	783	351
SP4	321	239	207	307	231	194	365	289	56	57	70	45	69	68	82	53
SP5	12	5	3	7	3	0	4	2	2	1	0	0	1	1	0	0
SP6	175	130	102	166	207	125	346	263	167	178	178	110	162	273	343	165
SP7	1	1	0	0	1	1	0	0	4	0	1	1	0	0	3	1
SP8	43	31	22	33	37	16	49	28	1	3	2	2	3	3	5	1
SP9	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SPA17	477	398	286	442	652	528	1113	817	482	573	505	327	564	888	880	447
SPACA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPACA3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPACA4	0	0	1	2	4	6	7	8	2	6	3	2	1	5	4	1
SPACA5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SPACA5B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SPACA6P	124	102	70	96	110	84	222	133	72	78	60	30	40	76	117	57
SPACA6P-AS	21	25	7	20	31	25	42	49	18	17	4	4	12	27	23	12
SPACA7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG1	1449	1040	742	1188	493	410	879	607	801	913	771	559	248	356	393	204
SPAG11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG11B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG16	251	244	146	243	267	212	438	334	165	197	182	121	182	251	275	143
SPAG17	262	220	169	258	153	114	218	143	100	99	82	52	28	67	48	29
SPAG4	44	43	29	41	51	39	80	56	60	43	56	34	44	83	128	57
SPAG5	6839	5579	4167	6598	7188	5847	12230	8757	2829	3510	3005	1736	2602	5194	5726	2824
SPAG5-AS1	1161	1075	760	1099	848	717	1538	1155	845	919	780	453	539	1019	1057	521
SPAG6	1	2	0	1	0	0	0	1	4	2	5	5	2	5	6	1
SPAG7	1950	1649	1154	1698	1445	1243	2426	1771	1034	1136	1024	632	602	1213	1217	581
SPAG8	24	17	17	23	24	19	46	36	12	23	21	10	12	24	32	15
SPAG9	4064	3220	2203	3449	3562	2963	5530	3945	1836	2124	1893	1380	1729	2824	2985	1412
SPAM1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SPANXA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXA2-OT1	0	3	0	2	0	0	3	0	0	0	0	2	0	1	0	0
SPANXB1	1	0	0	1	0	1	0	0	3	2	0	2	0	3	5	1
SPANXC	0	0	1	1	0	0	2	1	2	0	2	0	0	1	5	2
SPANXD	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
SPANXN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SPANXN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN5	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
SPARC	364	309	197	328	713	546	1140	862	291	399	297	188	497	879	935	402
SPARCL1	4	11	2	2	4	3	5	2	0	4	5	3	1	2	0	0
SPAST	803	604	428	666	431	374	724	566	166	185	167	143	139	135	159	65
SPATA1	35	31	29	26	27	16	40	28	17	20	30	15	34	37	40	17
SPATA12	16	12	8	11	7	7	17	14	1	1	4	2	0	0	3	4
SPATA13	834	671	539	800	847	639	1540	1095	96	139	154	99	147	231	272	127
SPATA13-AS1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
SPATA16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA17	27	27	15	18	38	38	62	56	26	42	49	17	36	64	42	25
SPATA17-AS1	3	2	0	1	6	4	11	4	2	5	7	1	5	9	0	5
SPATA18	654	573	394	633	846	737	1345	992	940	1128	1127	995	1163	1667	1884	881
SPATA19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA2	736	678	446	720	609	451	1080	771	186	191	158	80	137	262	270	116
SPATA20	1112	909	577	913	674	514	1183	833	1183	1297	1050	696	475	1024	1179	511
SPATA21	1	0	0	0	0	0	0	1	2	4	3	1	0	2	3	1
SPATA22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA24	92	76	66	86	115	87	190	119	76	95	78	39	70	126	120	72
SPATA25	13	8	11	15	12	11	25	20	20	20	16	18	13	27	21	14
SPATA2L	366	336	236	332	303	227	627	392	31	52	26	20	24	40	55	20
SPATA3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SPATA3-AS1	11	9	4	7	20	14	35	22	0	3	0	0	2	3	5	4
SPATA31A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31C1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31C2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SPATA31D1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SPATA31D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
