siHNRNPa1_t0_Scr_rep_1	siHNRNPa1_t0_Scr_rep_2	siHNRNPa1_t0_Tyr_rep_1	siHNRNPa1_t0_Tyr_rep_2	siHNRNPa1_t8_Scr_rep_1	siHNRNPa1_t8_Scr_rep_2	siHNRNPa1_t8_Tyr_rep_1	siHNRNPa1_t8_Tyr_rep_2
AHCYL1	5297	4498	8927	6510	4112	7273	7834	3711
AHCYL2	657	573	1071	799	402	750	783	417
AHDC1	1107	762	1770	1322	55	80	126	56
AHI1	873	705	1352	960	542	908	1018	518
AHNAK	43316	33184	73909	49481	15183	26809	25794	13479
AHNAK2	1939	1852	3020	2184	738	1023	1101	525
AHR	1085	863	1747	1194	81	127	143	70
AHRR	135	120	262	188	86	187	193	83
AHSA1	8553	6992	14752	11133	4215	8203	8599	4021
AHSA2	1006	781	1509	1114	756	1340	1553	694
AHSG	2	4	7	5	9	4	5	2
AHSP	0	0	0	0	0	1	1	0
AICDA	0	0	0	0	0	1	0	0
AIDA	583	484	902	679	352	568	598	272
AIF1	0	0	0	0	0	0	0	0
AIF1L	663	524	1226	842	405	825	968	433
AIFM1	3010	2551	5123	3831	2173	4110	4340	2018
AIFM2	1546	1252	2693	2051	821	1671	1996	795
AIFM3	7	11	14	11	6	13	9	7
AIG1	1869	1569	3044	2286	1603	2778	2898	1417
AIM1	6463	5476	10707	7539	1374	2575	2367	1225
AIM1L	86	72	180	108	38	80	85	41
AIM2	5	6	9	6	0	1	1	4
AIMP1	3104	2750	5323	3990	2638	3969	4229	2039
AIMP2	2611	2114	4358	3333	886	1578	1788	791
AIP	1216	999	1995	1523	525	1051	1165	521
AIPL1	0	0	0	0	0	0	0	0
AIRE	0	0	0	0	0	0	1	0
AIRN	0	0	1	0	1	0	0	0
