enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
ANAPC15	37	1	32
ANAPC16	337	239	91
ANAPC1P1	0	0	16
ANAPC2	16	0	0
ANAPC4	84	142	25
ANAPC5	387	411	198
ANAPC7	345	48	106
ANG	10	0	2
ANGEL1	22	0	0
ANGEL2	299	78	82
ANGPT1	32	0	11
ANGPT2	79	0	88
ANGPT4	0	0	0
ANGPTL1	11	0	7
ANGPTL2	125	109	144
ANGPTL3	1	0	0
ANGPTL4	35	205	23
ANGPTL5	0	0	0
ANGPTL6	11	19	30
ANGPTL7	4	0	0
ANHX	0	0	0
ANK1	32	0	18
ANK2	779	98	259
ANK3	969	283	150
ANKAR	27	0	11
ANKDD1A	59	0	9
ANKDD1B	4	0	5
ANKEF1	16	0	0
ANKFN1	0	0	3
ANKFY1	210	25	87
ANKH	108	147	31
ANKHD1	934	373	356
ANKHD1-EIF4EBP3	967	249	344
ANKIB1	389	195	110
ANKK1	0	0	0
ANKLE1	4	0	0
ANKLE2	222	420	64
ANKMY1	2	0	5
ANKMY2	150	155	26
ANKRA2	349	149	398
ANKRD1	134	3068	12
ANKRD10	203	234	111
ANKRD11	2487	823	1067
ANKRD12	1477	293	308
ANKRD13A	266	276	37
ANKRD13B	144	48	57
ANKRD13C	95	89	46
ANKRD13D	178	118	22
ANKRD16	58	0	24
ANKRD17	1561	650	456
ANKRD18A	2	1	0
ANKRD18B	16	1	0
ANKRD18DP	0	0	0
ANKRD19P	144	29	30
ANKRD2	2	0	0
ANKRD20A1	0	0	0
ANKRD20A11P	0	0	0
ANKRD20A12P	0	0	0
ANKRD20A19P	0	0	35
ANKRD20A2	0	0	0
ANKRD20A3	0	0	0
ANKRD20A4	0	0	0
ANKRD20A5P	0	0	0
ANKRD20A8P	1	0	0
ANKRD20A9P	8	0	100
ANKRD22	0	0	0
ANKRD23	106	48	87
ANKRD24	22	1	0
ANKRD26	434	290	84
ANKRD26P1	0	0	3
ANKRD26P3	0	0	13
ANKRD27	102	0	72
ANKRD28	118	102	69
ANKRD29	25	0	1
ANKRD30A	0	0	20
ANKRD30B	0	0	0
ANKRD30BL	0	0	0
ANKRD30BP2	0	0	13
ANKRD30BP3	0	0	0
ANKRD31	2	0	0
ANKRD33	0	0	0
ANKRD33B	79	59	10
ANKRD34A	33	0	16
ANKRD34B	0	0	0
ANKRD34C	0	0	5
ANKRD34C-AS1	0	0	0
ANKRD35	37	0	0
ANKRD36	203	36	107
ANKRD36B	153	4	110
ANKRD36BP1	12	0	3
ANKRD36BP2	3	0	3
ANKRD36C	483	277	190
ANKRD37	15	47	18
ANKRD39	58	44	9
ANKRD40	56	218	11
ANKRD42	79	93	17
ANKRD44	43	0	14
ANKRD44-IT1	3	1	15
ANKRD45	55	97	8
ANKRD46	121	0	55
ANKRD49	190	69	65
ANKRD50	570	327	267
ANKRD52	266	153	93
ANKRD53	0	0	0
ANKRD54	88	3	29
ANKRD55	0	0	0
ANKRD6	84	14	47
ANKRD60	0	0	0
ANKRD61	0	0	0
ANKRD62	0	0	15
ANKRD62P1-PARP4P3	0	0	0
ANKRD63	0	0	0
ANKRD65	1	0	0
ANKRD66	0	0	0
ANKRD7	1	0	0
ANKRD9	142	37	56
ANKS1A	136	21	11
ANKS1B	32	9	20
ANKS3	105	21	58
ANKS4B	8	0	22
ANKS6	43	141	37
ANKUB1	1	0	0
ANKZF1	298	49	105
ANLN	26	18	43
ANO1	2	0	0
ANO1-AS2	0	0	0
ANO10	307	126	78
ANO2	0	0	16
ANO3	21	0	0
ANO4	21	0	0
ANO5	26	0	5
ANO6	78	370	57
ANO7	1	0	0
ANO8	137	122	19
ANO9	2	0	0
ANOS1	7	71	37
ANP32A	722	143	199
ANP32A-IT1	6	0	0
ANP32AP1	0	0	0
ANP32B	1733	446	648
ANP32C	0	0	0
ANP32D	0	0	0
ANP32E	607	421	166
ANPEP	0	0	1
ANTXR1	87	399	46
ANTXR2	73	100	45
ANTXRL	0	0	0
ANTXRLP1	0	0	0
ANXA1	146	401	46
ANXA10	0	0	0
ANXA11	62	116	65
ANXA13	2	1	52
ANXA2	1342	3370	302
ANXA2P1	2	0	0
ANXA2P2	0	0	0
ANXA2P3	97	401	27
ANXA2R	14	0	2
ANXA3	1	0	0
ANXA4	37	35	13
ANXA5	247	775	132
ANXA6	547	325	440
ANXA7	94	80	35
ANXA8	0	0	0
ANXA8L1	0	0	0
ANXA9	9	0	0
AOAH	2	0	0
AOAH-IT1	0	0	0
AOC1	0	0	1
AOC2	4	46	0
AOC3	30	0	26
AOC4P	0	0	0
AOX1	11	0	8
AOX2P	0	0	0
AP1AR	110	58	30
AP1B1	360	308	117
AP1B1P1	0	0	14
AP1G1	324	470	90
AP1G2	60	0	28
AP1M1	506	294	90
AP1M2	3	0	0
AP1S1	1976	327	681
AP1S2	946	161	159
AP1S3	93	0	41
AP2A1	195	49	34
AP2A2	369	135	156
AP2B1	2716	335	796
AP2M1	2019	943	554
AP2S1	2619	1538	944
AP3B1	217	203	112
AP3B2	126	0	24
AP3D1	1135	737	440
AP3M1	132	115	130
AP3M2	507	94	103
AP3S1	154	230	47
AP3S2	292	1	116
AP4B1	51	64	21
AP4B1-AS1	0	0	0
AP4E1	76	28	45
AP4M1	112	153	70
AP4S1	45	52	115
AP5B1	86	74	41
AP5M1	36	3	35
AP5S1	37	76	24
AP5Z1	165	381	72
APAF1	180	87	55
APBA1	56	1	48
APBA2	348	167	92
APBA3	31	0	19
APBB1	327	1	45
APBB1IP	0	1	39
APBB2	233	268	62
APBB3	56	60	29
APC	824	240	244
APC2	577	31	151
APCDD1	65	0	7
APCDD1L	11	0	4
APCDD1L-AS1	14	0	9
APCS	0	0	3
APEH	593	324	155
APELA	17	1	26
APEX1	495	44	108
APEX2	47	53	6
APH1A	1453	875	402
APH1B	33	0	9
API5	112	111	56
APIP	52	0	16
APITD1	46	39	8
APITD1-CORT	63	2	9
APLF	13	0	7
APLN	4	0	0
APLNR	0	0	17
APLP1	711	120	158
APLP2	1567	1281	487
APMAP	341	517	108
APOA1	5	2	2
APOA1-AS	2	0	0
APOA1BP	326	301	161
APOA2	0	0	0
APOA4	0	0	0
APOA5	0	0	0
APOB	0	1	3
APOBEC1	1	0	0
APOBEC2	1	0	0
APOBEC3A	2	0	0
APOBEC3A_B	0	0	0
APOBEC3B	0	0	0
APOBEC3B-AS1	0	0	0
APOBEC3C	182	195	60
APOBEC3D	24	0	42
APOBEC3F	233	61	21
APOBEC3G	0	0	2
APOBEC3H	0	0	0
APOBEC4	43	0	7
APOBR	0	0	0
APOC1	21	3	4
APOC1P1	0	0	2
APOC2	1	0	0
APOC3	0	0	0
APOC4	2	0	0
APOC4-APOC2	3	0	0
APOD	77	0	76
APOE	256	54	223
APOF	74	0	1
APOH	0	1	2
APOL1	22	69	4
APOL2	54	1	30
APOL3	1	0	0
APOL4	28	0	27
APOL5	4	0	0
APOL6	16	0	9
APOLD1	27	33	30
APOM	23	22	11
APOO	54	107	17
APOOL	103	17	35
APOOP5	0	0	0
APOPT1	448	259	178
APP	2691	1422	794
APPBP2	262	189	96
APPL1	563	291	234
APPL2	80	1	21
APRT	255	280	133
APTR	128	86	29
APTX	366	164	103
AQP1	85	32	19
AQP10	0	0	10
AQP11	2	0	6
AQP12A	0	0	0
AQP12B	0	0	0
AQP2	0	0	0
AQP3	7	9	11
AQP4	0	0	1
AQP4-AS1	3	0	4
AQP5	4	0	0
AQP6	0	0	0
AQP7	0	0	0
AQP7P1	0	0	0
AQP7P3	0	0	0
AQP8	1	0	0
AQP9	0	0	0
AQR	142	26	65
AR	14	0	73
ARAF	95	146	22
ARAP1	85	65	68
ARAP2	3	0	5
ARAP3	37	0	8
ARC	32	0	2
ARCN1	356	448	102
AREG	6	1	0
AREL1	119	99	71
ARF1	2760	1858	539
ARF3	547	338	173
ARF4	614	1067	145
ARF5	4720	1024	1735
ARF6	221	341	49
ARFGAP1	1372	600	492
ARFGAP2	348	98	101
ARFGAP3	275	278	90
ARFGEF1	235	180	124
ARFGEF2	144	88	60
ARFGEF3	269	1	47
ARFIP1	141	193	37
ARFIP2	141	73	95
ARFRP1	311	95	133
ARG1	1	0	0
ARG2	678	470	113
ARGFX	10	0	20
ARGFXP2	0	0	0
ARGLU1	2218	687	797
ARHGAP1	226	262	108
ARHGAP10	87	100	78
ARHGAP11A	39	2	5
ARHGAP11B	2	0	0
ARHGAP12	120	27	34
ARHGAP15	0	0	0
ARHGAP17	43	40	5
ARHGAP18	64	17	9
ARHGAP19	74	0	49
ARHGAP19-SLIT1	45	0	13
ARHGAP20	39	0	38
ARHGAP21	668	442	256
ARHGAP22	22	2	24
ARHGAP23	85	79	44
ARHGAP24	44	0	33
ARHGAP25	5	0	0
ARHGAP26	6	20	24
ARHGAP26-AS1	0	0	0
ARHGAP26-IT1	0	0	0
ARHGAP27	3	0	2
ARHGAP28	75	75	80
ARHGAP29	511	253	129
ARHGAP30	11	0	26
ARHGAP31	71	159	77
ARHGAP31-AS1	0	0	0
ARHGAP32	122	38	53
ARHGAP33	212	0	53
ARHGAP35	421	469	252
ARHGAP36	0	0	0
ARHGAP39	92	1	23
ARHGAP4	84	2	18
ARHGAP40	0	0	0
ARHGAP42	68	102	39
ARHGAP44	27	0	1
ARHGAP5	865	717	237
ARHGAP5-AS1	23	0	0
ARHGAP6	10	0	96
ARHGAP8	5	1	13
ARHGAP9	4	0	16
ARHGDIA	978	583	349
ARHGDIB	20	1	0
ARHGDIG	174	0	48
ARHGEF1	22	7	11
ARHGEF10	103	130	42
ARHGEF10L	126	75	26
ARHGEF11	310	159	127
ARHGEF12	655	264	143
ARHGEF15	0	0	4
ARHGEF16	18	0	2
ARHGEF17	232	140	151
