enteric_water_1	sensory_water_1	enteric_water_2	sensory_water_2
ACTN3	0	0	1.98418848323588	0
ACTN4	153.66359908357	139.264276019756	230.165864055362	351.233066748745
ACTR10	108.877223471273	169.902416744102	178.576963491229	171.897595020562
ACTR1A	298.061051488733	342.590119008599	288.699424310821	153.716118624157
ACTR1B	66.4073845285778	26.4602124437536	54.5651832889867	59.5030136609639
ACTR2	1013.87088239561	1160.07141924457	723.236702139479	576.848660213233
ACTR3	84.9396778853902	72.417423530273	76.3912566045814	90.9073819820282
ACTR3B	33.2036922642889	20.8896414029634	33.73120421501	38.0158142833936
ACTR3BP2	0	0	0	0
ACTR3BP5	0	0	0	0
ACTR3C	0	0	0	0
ACTR5	6.94961000880465	0	0	6.61144596232932
ACTR6	98.8388979029995	82.1659228516559	45.6363351144253	35.5365220475201
ACTR8	68.7239211981793	25.067569683556	26.7865445236844	38.0158142833936
ACTRT1	0	0	0	0
ACTRT2	0	0	0	0
